Location,n
No Location,643
On or near Supermarket,619
On or near Parking Area,510
On or near Sports/Recreation Area,413
On or near Shopping Area,409
On or near Petrol Station,408
On or near Pedestrian Subway,180
On or near Park/Open Space,129
On or near Nightclub,99
On or near Hospital,93
